id,value
ca,កាតាឡាន
ca_FR,"កាតាឡាន (បារាំង)"
ca_AD,"កាតាឡាន (អង់ដូរ៉ា)"
ca_IT,"កាតាឡាន (អ៊ីតាលី)"
ca_ES,"កាតាឡាន (អេស្ប៉ាញ)"
ks,កាស្មៀរ
ks_IN,"កាស្មៀរ (ឥណ្ឌា)"
kk,កាហ្សាក់
kk_KZ,"កាហ្សាក់ (កាហ្សាក់ស្ថាន)"
kl,កាឡាលលីស៊ុត
kl_GL,"កាឡាលលីស៊ុត (ហ្គ្រោអង់ឡង់)"
kw,កូនីស
kw_GB,"កូនីស (ចក្រភព​អង់គ្លេស)"
ko,កូរ៉េ
ko_KP,"កូរ៉េ (កូរ៉េ​ខាង​ជើង)"
ko_KR,"កូរ៉េ (កូរ៉េ​ខាង​ត្បូង)"
ky,​កៀហ្ស៊ីស
ky_KG,"​កៀហ្ស៊ីស (កៀហ្ស៊ីស៊ីស្ថាន)"
el,ក្រិក
el_GR,"ក្រិក (ក្រិក)"
el_CY,"ក្រិក (ស៊ីប)"
hr,ក្រូអាត
hr_HR,"ក្រូអាត (ក្រូអាត)"
hr_BA,"ក្រូអាត (បូស្នី និងហឺហ្សីហ្គូវីណា)"
kn,ខាណាដា
kn_IN,"ខាណាដា (ឥណ្ឌា)"
km,ខ្មែរ
km_KH,"ខ្មែរ (កម្ពុជា)"
rw,គិនយ៉ាវ៉ាន់ដា
rw_RW,"គិនយ៉ាវ៉ាន់ដា (រវ៉ាន់ដា)"
ki,គីគូយូ
ki_KE,"គីគូយូ (កេនយ៉ា)"
zh,ចិន
zh_CN,"ចិន (ចិន)"
zh_TW,"ចិន (តៃវ៉ាន់)"
zh_MO,"ចិន (ម៉ាកាវ)"
zh_SG,"ចិន (សិង្ហបុរី)"
zh_HK,"ចិន (ហុងកុង)"
zh_Hans_CN,"ចិន (អក្សរ​ចិន​កាត់, ចិន)"
zh_Hans_MO,"ចិន (អក្សរ​ចិន​កាត់, ម៉ាកាវ)"
zh_Hans_SG,"ចិន (អក្សរ​ចិន​កាត់, សិង្ហបុរី)"
zh_Hans_HK,"ចិន (អក្សរ​ចិន​កាត់, ហុងកុង)"
zh_Hans,"ចិន (អក្សរ​ចិន​កាត់)"
zh_Hant_TW,"ចិន (អក្សរ​ចិន​ពេញ, តៃវ៉ាន់)"
zh_Hant_MO,"ចិន (អក្សរ​ចិន​ពេញ, ម៉ាកាវ)"
zh_Hant_HK,"ចិន (អក្សរ​ចិន​ពេញ, ហុងកុង)"
zh_Hant,"ចិន (អក្សរ​ចិន​ពេញ)"
cs,ឆេក
cs_CZ,"ឆេក (ឆេគា)"
ja,ជប៉ុន
ja_JP,"ជប៉ុន (ជប៉ុន)"
ce,ឈីឆេន
ce_RU,"ឈីឆេន (រុស្ស៊ី)"
da,ដាណឺម៉ាក
da_DK,"ដាណឺម៉ាក (ដាណឺម៉ាក)"
da_GL,"ដាណឺម៉ាក (ហ្គ្រោអង់ឡង់)"
dz,ដុងខា
dz_BT,"ដុងខា (ប៊ូតាន)"
ta,តាមីល
ta_MY,"តាមីល (ម៉ាឡេស៊ី)"
ta_SG,"តាមីល (សិង្ហបុរី)"
ta_LK,"តាមីល (ស្រីលង្កា)"
ta_IN,"តាមីល (ឥណ្ឌា)"
to,តុងហ្គា
to_TO,"តុងហ្គា (តុងហ្គា)"
te,តេលុគុ
te_IN,"តេលុគុ (ឥណ្ឌា)"
th,ថៃ
th_TH,"ថៃ (ថៃ)"
bo,ទីបេ
bo_CN,"ទីបេ (ចិន)"
bo_IN,"ទីបេ (ឥណ្ឌា)"
ti,ទីហ្គ្រីញ៉ា
ti_ET,"ទីហ្គ្រីញ៉ា (អេត្យូពី)"
ti_ER,"ទីហ្គ្រីញ៉ា (អេរីទ្រា)"
tr,ទួរគី
tr_TR,"ទួរគី (ទួរគី)"
tr_CY,"ទួរគី (ស៊ីប)"
no,ន័រវែស
no_NO,"ន័រវែស (ន័រវែស)"
nn,"ន័រវែស នីនូស"
nn_NO,"ន័រវែស នីនូស (ន័រវែស)"
nb,"ន័រវែស បុកម៉ាល់"
nb_NO,"ន័រវែស បុកម៉ាល់ (ន័រវែស)"
nb_SJ,"ន័រវែស បុកម៉ាល់ (ស្វាលបាដ និង ហ្សង់ម៉ាយេន)"
ne,នេប៉ាល់
ne_NP,"នេប៉ាល់ (នេប៉ាល់)"
ne_IN,"នេប៉ាល់ (ឥណ្ឌា)"
nd,នេបេលេខាងជើង
nd_ZW,"នេបេលេខាងជើង (ហ្ស៊ីមបាវ៉េ)"
bn,បង់ក្លាដែស
bn_BD,"បង់ក្លាដែស (បង់ក្លាដែស)"
bn_IN,"បង់ក្លាដែស (ឥណ្ឌា)"
bm,បាម្បារា
bm_ML,"បាម្បារា (ម៉ាលី)"
fr,បារាំង
fr_CA,"បារាំង (កាណាដា)"
fr_CM,"បារាំង (កាមេរូន)"
fr_CG,"បារាំង (កុងហ្គោ - ប្រាហ្សាវីល)"
fr_CD,"បារាំង (កុងហ្គោ- គីនស្ហាសា)"
fr_CI,"បារាំង (កូដឌីវ័រ)"
fr_KM,"បារាំង (កូម័រ)"
fr_TD,"បារាំង (ឆាដ)"
fr_DJ,"បារាំង (ជីប៊ូទី)"
fr_NC,"បារាំង (ញូកាឡេដូនៀ)"
fr_TG,"បារាំង (តូហ្គោ)"
fr_TN,"បារាំង (ទុយនេស៊ី)"
fr_NE,"បារាំង (នីហ្សេរ)"
fr_FR,"បារាំង (បារាំង)"
fr_BI,"បារាំង (ប៊ូរុនឌី)"
fr_PF,"បារាំង (ប៉ូលី​ណេស៊ី​បារាំង)"
fr_BF,"បារាំង (បួគីណាហ្វាសូ)"
fr_BJ,"បារាំង (បេណាំង)"
fr_BE,"បារាំង (បែលហ្ស៊ិក)"
fr_MG,"បារាំង (ម៉ាដាហ្គាស្កា)"
fr_MQ,"បារាំង (ម៉ាទីនីក)"
fr_YT,"បារាំង (ម៉ាយុត)"
fr_MA,"បារាំង (ម៉ារ៉ុក)"
fr_ML,"បារាំង (ម៉ាលី)"
fr_MC,"បារាំង (ម៉ូណាកូ)"
fr_MR,"បារាំង (ម៉ូរីតានី)"
fr_MU,"បារាំង (ម៉ូរីស)"
fr_RW,"បារាំង (រវ៉ាន់ដា)"
fr_RE,"បារាំង (រេអុយញ៉ុង)"
fr_LU,"បារាំង (លុចហ្សំបួរ)"
fr_VU,"បារាំង (វ៉ានូអាទូ)"
fr_WF,"បារាំង (វ៉ាលីស និង​ហ្វូទូណា)"
fr_BL,"បារាំង (សង់ បាតេឡេម៉ី)"
fr_PM,"បារាំង (សង់ព្យែរ និង​មីគីឡុង)"
fr_MF,"បារាំង (សង់​ម៉ាទីន)"
fr_CF,"បារាំង (សាធារណរដ្ឋអាហ្វ្រិកកណ្ដាល)"
fr_SY,"បារាំង (ស៊ីរី)"
fr_SC,"បារាំង (សីសែល)"
fr_SN,"បារាំង (សេណេហ្គាល់)"
fr_CH,"បារាំង (ស្វីស)"
fr_HT,"បារាំង (ហៃទី)"
fr_GA,"បារាំង (ហ្គាបុង)"
fr_GN,"បារាំង (ហ្គីណេ)"
fr_GQ,"បារាំង (ហ្គីណេអេក្វាទ័រ)"
fr_GF,"បារាំង (ហ្គៀណាបារាំង)"
fr_GP,"បារាំង (ហ្គោដឺឡុប)"
fr_DZ,"បារាំង (អាល់ហ្សេរី)"
eu,បាសខ៍
eu_ES,"បាសខ៍ (អេស្ប៉ាញ)"
ps,បាស្តូ
ps_AF,"បាស្តូ (អាហ្វហ្គានីស្ថាន)"
pa,បឹនជាពិ
pa_Guru_IN,"បឹនជាពិ (កុមុយឃី, ឥណ្ឌា)"
pa_Guru,"បឹនជាពិ (កុមុយឃី)"
pa_PK,"បឹនជាពិ (ប៉ាគីស្ថាន)"
