id,value
en,"ағылшын тілі"
en_AU,"ағылшын тілі (Австралия)"
en_AT,"ағылшын тілі (Австрия)"
en_VI,"ағылшын тілі (АҚШ-тың Виргин аралдары)"
en_UM,"ағылшын тілі (АҚШ-тың сыртқы кіші аралдары)"
en_US,"ағылшын тілі (Америка Құрама Штаттары)"
en_AS,"ағылшын тілі (Америкалық Самоа)"
en_AI,"ағылшын тілі (Ангилья)"
en_AG,"ағылшын тілі (Антигуа және Барбуда)"
en_SH,"ағылшын тілі (Әулие Елена аралы)"
en_BS,"ағылшын тілі (Багам аралдары)"
en_BB,"ағылшын тілі (Барбадос)"
en_BZ,"ағылшын тілі (Белиз)"
en_BE,"ағылшын тілі (Бельгия)"
en_BM,"ағылшын тілі (Бермуд аралдары)"
en_BW,"ағылшын тілі (Ботсвана)"
en_VG,"ағылшын тілі (Британдық Виргин аралдары)"
en_BI,"ағылшын тілі (Бурунди)"
en_VU,"ағылшын тілі (Вануату)"
en_GY,"ағылшын тілі (Гайана)"
en_GM,"ағылшын тілі (Гамбия)"
en_GH,"ағылшын тілі (Гана)"
en_DE,"ағылшын тілі (Германия)"
en_GG,"ағылшын тілі (Гернси)"
en_GI,"ағылшын тілі (Гибралтар)"
en_GD,"ағылшын тілі (Гренада)"
en_GU,"ағылшын тілі (Гуам)"
en_DK,"ағылшын тілі (Дания)"
en_JE,"ағылшын тілі (Джерси)"
en_DG,"ағылшын тілі (Диего-Гарсия)"
en_DM,"ағылшын тілі (Доминика)"
en_NZ,"ағылшын тілі (Жаңа Зеландия)"
en_ZM,"ағылшын тілі (Замбия)"
en_ZW,"ағылшын тілі (Зимбабве)"
en_IL,"ағылшын тілі (Израиль)"
en_IE,"ағылшын тілі (Ирландия)"
en_KY,"ағылшын тілі (Кайман аралдары)"
en_CM,"ағылшын тілі (Камерун)"
en_CA,"ағылшын тілі (Канада)"
en_KE,"ағылшын тілі (Кения)"
en_CY,"ағылшын тілі (Кипр)"
en_KI,"ағылшын тілі (Кирибати)"
en_CC,"ағылшын тілі (Кокос (Килинг) аралдары)"
en_CK,"ағылшын тілі (Кук аралдары)"
en_HK,"ағылшын тілі (Қытай Халық Республикасының Гонконг арнайы әкімшілік ауданы)"
en_MO,"ағылшын тілі (Қытай Халық Республикасының Макао арнайы әкімшілік ауданы)"
en_LS,"ағылшын тілі (Лесото)"
en_LR,"ағылшын тілі (Либерия)"
en_MU,"ағылшын тілі (Маврикий)"
en_MG,"ағылшын тілі (Мадагаскар)"
en_MW,"ағылшын тілі (Малави)"
en_MY,"ағылшын тілі (Малайзия)"
en_MT,"ағылшын тілі (Мальта)"
en_MH,"ағылшын тілі (Маршалл аралдары)"
en_FM,"ағылшын тілі (Микронезия)"
en_MS,"ағылшын тілі (Монтсеррат)"
en_IM,"ағылшын тілі (Мэн аралы)"
en_NA,"ағылшын тілі (Намибия)"
en_NR,"ағылшын тілі (Науру)"
en_NG,"ағылшын тілі (Нигерия)"
en_NL,"ағылшын тілі (Нидерланд)"
en_NU,"ағылшын тілі (Ниуэ)"
en_NF,"ағылшын тілі (Норфолк аралы)"
en_ZA,"ағылшын тілі (Оңтүстік Африка Республикасы)"
en_SS,"ағылшын тілі (Оңтүстік Судан)"
en_PW,"ағылшын тілі (Палау)"
en_PG,"ағылшын тілі (Папуа — Жаңа Гвинея)"
en_PK,"ағылшын тілі (Пәкістан)"
en_PN,"ағылшын тілі (Питкэрн аралдары)"
en_PR,"ағылшын тілі (Пуэрто-Рико)"
en_CX,"ағылшын тілі (Рождество аралы)"
en_RW,"ағылшын тілі (Руанда)"
en_WS,"ағылшын тілі (Самоа)"
en_SZ,"ағылшын тілі (Свазиленд)"
en_SC,"ағылшын тілі (Сейшель аралдары)"
en_VC,"ағылшын тілі (Сент-Винсент және Гренадин аралдары)"
en_KN,"ағылшын тілі (Сент-Китс және Невис)"
en_LC,"ағылшын тілі (Сент-Люсия)"
