id,value
az,азербайджанская
az_AZ,"азербайджанская (Азербайджан)"
az_Cyrl_AZ,"азербайджанская (кірыліца, Азербайджан)"
az_Cyrl,"азербайджанская (кірыліца)"
az_Latn_AZ,"азербайджанская (лацініца, Азербайджан)"
az_Latn,"азербайджанская (лацініца)"
ak,акан
ak_GH,"акан (Гана)"
sq,албанская
sq_AL,"албанская (Албанія)"
sq_XK,"албанская (Косава)"
sq_MK,"албанская (Македонія)"
am,амхарская
am_ET,"амхарская (Эфіопія)"
en,англійская
en_AS,"англійская (Амерыканскае Самоа)"
en_VI,"англійская (Амерыканскія Віргінскія астравы)"
en_AI,"англійская (Ангілья)"
en_AG,"англійская (Антыгуа і Барбуда)"
en_CK,"англійская (Астравы Кука)"
en_PN,"англійская (Астравы Піткэрн)"
en_AU,"англійская (Аўстралія)"
en_AT,"англійская (Аўстрыя)"
en_BS,"англійская (Багамы)"
en_BB,"англійская (Барбадас)"
en_BW,"англійская (Батсвана)"
en_BZ,"англійская (Беліз)"
en_BE,"англійская (Бельгія)"
en_BM,"англійская (Бермудскія астравы)"
en_IO,"англійская (Брытанская тэрыторыя ў Індыйскім акіяне)"
en_VG,"англійская (Брытанскія Віргінскія астравы)"
en_BI,"англійская (Бурундзі)"
en_VU,"англійская (Вануату)"
en_DG,"англійская (Востраў Дыега-Гарсія)"
en_CX,"англійская (Востраў Каляд)"
en_IM,"англійская (Востраў Мэн)"
en_NF,"англійская (Востраў Норфалк)"
en_SH,"англійская (Востраў Святой Алены)"
en_GB,"англійская (Вялікабрытанія)"
en_GM,"англійская (Гамбія)"
en_GH,"англійская (Гана)"
en_HK,"англійская (Ганконг, САР (Кітай))"
en_GY,"англійская (Гаяна)"
en_DE,"англійская (Германія)"
en_GG,"англійская (Гернсі)"
en_GI,"англійская (Гібралтар)"
en_GD,"англійская (Грэнада)"
en_GU,"англійская (Гуам)"
en_DM,"англійская (Дамініка)"
en_DK,"англійская (Данія)"
en_JE,"англійская (Джэрсі)"
en_ZM,"англійская (Замбія)"
en_ZW,"англійская (Зімбабвэ)"
en_US,"англійская (Злучаныя Штаты Амерыкі)"
en_IL,"англійская (Ізраіль)"
en_IN,"англійская (Індыя)"
en_IE,"англійская (Ірландыя)"
en_KY,"англійская (Кайманавы астравы)"
en_CC,"англійская (Какосавыя (Кілінг) астравы)"
en_CM,"англійская (Камерун)"
en_CA,"англійская (Канада)"
en_KE,"англійская (Кенія)"
en_CY,"англійская (Кіпр)"
en_KI,"англійская (Кірыбаці)"
en_LS,"англійская (Лесота)"
en_LR,"англійская (Ліберыя)"
en_MG,"англійская (Мадагаскар)"
