id,value
ur,اردو
ur_IN,"اردو (بھارت)"
ur_PK,"اردو (پاکستان)"
hy,ارمینی
hy_AM,"ارمینی (آرمینیا)"
or,اڑیہ
or_IN,"اڑیہ (بھارت)"
uz,ازبیک
uz_UZ,"ازبیک (ازبکستان)"
uz_AF,"ازبیک (افغانستان)"
uz_Cyrl_UZ,"ازبیک (سیریلک, ازبکستان)"
uz_Cyrl,"ازبیک (سیریلک)"
uz_Arab_AF,"ازبیک (عربی, افغانستان)"
uz_Arab,"ازبیک (عربی)"
uz_Latn_UZ,"ازبیک (لاطینی, ازبکستان)"
uz_Latn,"ازبیک (لاطینی)"
et,اسٹونین
et_EE,"اسٹونین (اسٹونیا)"
it,اطالوی
it_IT,"اطالوی (اٹلی)"
it_SM,"اطالوی (سان مارینو)"
it_CH,"اطالوی (سوئٹزر لینڈ)"
it_VA,"اطالوی (واٹیکن سٹی)"
ak,اکان
ak_GH,"اکان (گھانا)"
ig,اِگبو
ig_NG,"اِگبو (نائجیریا)"
sq,البانی
sq_AL,"البانی (البانیہ)"
sq_XK,"البانی (کوسووو)"
sq_MK,"البانی (مقدونیہ)"
am,امہاری
am_ET,"امہاری (ایتھوپیا)"
id,انڈونیثیائی
id_ID,"انڈونیثیائی (انڈونیشیا)"
en,انگریزی
en_ER,"انگریزی (اریٹیریا)"
en_IL,"انگریزی (اسرائیل)"
en_UM,"انگریزی (امریکہ سے باہر کے چھوٹے جزائز)"
en_AS,"انگریزی (امریکی ساموآ)"
en_VI,"انگریزی (امریکی ورجن آئلینڈز)"
en_AG,"انگریزی (انٹیگوا اور باربودا)"
en_AI,"انگریزی (انگوئیلا)"
en_AT,"انگریزی (آسٹریا)"
en_AU,"انگریزی (آسٹریلیا)"
en_IE,"انگریزی (آئرلینڈ)"
en_IM,"انگریزی (آئل آف مین)"
en_BB,"انگریزی (بارباڈوس)"
en_VG,"انگریزی (برٹش ورجن آئلینڈز)"
en_IO,"انگریزی (برطانوی بحر ہند کا علاقہ)"
en_BM,"انگریزی (برمودا)"
en_BI,"انگریزی (برونڈی)"
en_BW,"انگریزی (بوتسوانا)"
en_BS,"انگریزی (بہاماس)"
en_BZ,"انگریزی (بیلائز)"
en_BE,"انگریزی (بیلجیم)"
en_IN,"انگریزی (بھارت)"
en_PG,"انگریزی (پاپوآ نیو گنی)"
en_PK,"انگریزی (پاکستان)"
en_PN,"انگریزی (پٹکائرن جزائر)"
en_PW,"انگریزی (پلاؤ)"
en_PR,"انگریزی (پیورٹو ریکو)"
en_TC,"انگریزی (ترکس اور کیکاؤس جزائر)"
en_TT,"انگریزی (ترینیداد اور ٹوباگو)"
en_TZ,"انگریزی (تنزانیہ)"
en_TK,"انگریزی (ٹوکیلاؤ)"
en_TO,"انگریزی (ٹونگا)"
en_TV,"انگریزی (ٹووالو)"
en_GI,"انگریزی (جبل الطارق)"
en_JE,"انگریزی (جرسی)"
en_DE,"انگریزی (جرمنی)"
en_CX,"انگریزی (جزیرہ کرسمس)"
en_JM,"انگریزی (جمائیکا)"
en_ZA,"انگریزی (جنوبی افریقہ)"
en_SS,"انگریزی (جنوبی سوڈان)"
en_DG,"انگریزی (ڈائجو گارسیا)"
en_DK,"انگریزی (ڈنمارک)"
en_DM,"انگریزی (ڈومنیکا)"
en_RW,"انگریزی (روانڈا)"
en_US,"انگریزی (ریاستہائے متحدہ)"
en_ZM,"انگریزی (زامبیا)"
en_ZW,"انگریزی (زمبابوے)"
en_WS,"انگریزی (ساموآ)"
en_SC,"انگریزی (سشلیز)"
en_GB,"انگریزی (سلطنت متحدہ)"
en_SI,"انگریزی (سلووینیا)"
en_SX,"انگریزی (سنٹ مارٹن)"
en_SG,"انگریزی (سنگاپور)"
en_SZ,"انگریزی (سوازی لینڈ)"
en_SD,"انگریزی (سوڈان)"
en_SB,"انگریزی (سولومن آئلینڈز)"
en_CH,"انگریزی (سوئٹزر لینڈ)"
en_SE,"انگریزی (سویڈن)"
en_KN,"انگریزی (سینٹ کٹس اور نیویس)"
en_LC,"انگریزی (سینٹ لوسیا)"
en_VC,"انگریزی (سینٹ ونسنٹ اور گرینیڈائنز)"
en_SH,"انگریزی (سینٹ ہیلینا)"
en_SL,"انگریزی (سیئر لیون)"
en_MP,"انگریزی (شمالی ماریانا آئلینڈز)"
en_FK,"انگریزی (فاکلینڈ جزائر)"
en_FJ,"انگریزی (فجی)"
en_PH,"انگریزی (فلپائن)"
en_FI,"انگریزی (فن لینڈ)"
en_CY,"انگریزی (قبرص)"
en_KI,"انگریزی (کریباتی)"
en_CK,"انگریزی (کک آئلینڈز)"
en_CC,"انگریزی (کوکوس (کیلنگ) جزائر)"
en_CM,"انگریزی (کیمرون)"
en_KY,"انگریزی (کیمین آئلینڈز)"
en_KE,"انگریزی (کینیا)"
en_CA,"انگریزی (کینیڈا)"
en_GD,"انگریزی (گریناڈا)"
en_GU,"انگریزی (گوام)"
en_GG,"انگریزی (گوئرنسی)"
en_GY,"انگریزی (گیانا)"
en_GM,"انگریزی (گیمبیا)"
en_GH,"انگریزی (گھانا)"
en_LR,"انگریزی (لائبیریا)"
en_LS,"انگریزی (لیسوتھو)"
en_MH,"انگریزی (مارشل آئلینڈز)"
en_MU,"انگریزی (ماریشس)"
en_MT,"انگریزی (مالٹا)"
en_FM,"انگریزی (مائکرونیشیا)"
en_MG,"انگریزی (مڈغاسکر)"
en_MO,"انگریزی (مکاؤ SAR چین)"
en_MW,"انگریزی (ملاوی)"
en_MY,"انگریزی (ملائشیا)"
en_MS,"انگریزی (مونٹسیراٹ)"
en_NF,"انگریزی (نارفوک آئلینڈ)"
en_NA,"انگریزی (نامیبیا)"
en_NG,"انگریزی (نائجیریا)"
en_NR,"انگریزی (نؤرو)"
en_NL,"انگریزی (نیدر لینڈز)"
en_NZ,"انگریزی (نیوزی لینڈ)"
en_NU,"انگریزی (نیئو)"
en_VU,"انگریزی (وینوآٹو)"
en_HK,"انگریزی (ہانگ کانگ SAR چین)"
en_UG,"انگریزی (یوگنڈا)"
om,اورومو
om_ET,"اورومو (ایتھوپیا)"
om_KE,"اورومو (کینیا)"
os,اوسیٹک
os_GE,"اوسیٹک (جارجیا)"
os_RU,"اوسیٹک (روس)"
eo,ایسپرانٹو
af,ایفریکانز
af_ZA,"ایفریکانز (جنوبی افریقہ)"
af_NA,"ایفریکانز (نامیبیا)"
ee,ایو
ee_TG,"ایو (ٹوگو)"
ee_GH,"ایو (گھانا)"
az,آذربائیجانی
az_AZ,"آذربائیجانی (آذر بائیجان)"
az_Cyrl_AZ,"آذربائیجانی (سیریلک, آذر بائیجان)"
az_Cyrl,"آذربائیجانی (سیریلک)"
az_Latn_AZ,"آذربائیجانی (لاطینی, آذر بائیجان)"
az_Latn,"آذربائیجانی (لاطینی)"
as,آسامی
as_IN,"آسامی (بھارت)"
is,"آئس لینڈک"
is_IS,"آئس لینڈک (آئس لینڈ)"
ga,آئیرِش
ga_IE,"آئیرِش (آئرلینڈ)"
eu,باسکی
eu_ES,"باسکی (ہسپانیہ)"
my,برمی
my_MM,"برمی (میانمار (برما))"
br,بریٹن
br_FR,"بریٹن (فرانس)"
bg,بلغاری
bg_BG,"بلغاری (بلغاریہ)"
bm,بمبارا
bm_ML,"بمبارا (مالی)"
bn,بنگالی
bn_BD,"بنگالی (بنگلہ دیش)"
bn_IN,"بنگالی (بھارت)"
bs,بوسنی
bs_BA,"بوسنی (بوسنیا اور ہرزیگووینا)"
bs_Cyrl_BA,"بوسنی (سیریلک, بوسنیا اور ہرزیگووینا)"
bs_Cyrl,"بوسنی (سیریلک)"
bs_Latn_BA,"بوسنی (لاطینی, بوسنیا اور ہرزیگووینا)"
bs_Latn,"بوسنی (لاطینی)"
be,بیلاروسی
be_BY,"بیلاروسی (بیلاروس)"
pt,پُرتگالی
pt_GQ,"پُرتگالی (استوائی گیانا)"
pt_AO,"پُرتگالی (انگولا)"
pt_BR,"پُرتگالی (برازیل)"
pt_PT,"پُرتگالی (پرتگال)"
pt_TL,"پُرتگالی (تیمور لیسٹ)"
pt_ST,"پُرتگالی (ساؤ ٹوم اور پرنسپے)"
pt_CH,"پُرتگالی (سوئٹزر لینڈ)"
pt_CV,"پُرتگالی (کیپ ورڈی)"
pt_GW,"پُرتگالی (گنی بساؤ)"
pt_LU,"پُرتگالی (لکسمبرگ)"
pt_MO,"پُرتگالی (مکاؤ SAR چین)"
pt_MZ,"پُرتگالی (موزمبیق)"
ps,پشتو
ps_AF,"پشتو (افغانستان)"
pa,پنجابی
pa_IN,"پنجابی (بھارت)"
pa_PK,"پنجابی (پاکستان)"
pa_Arab_PK,"پنجابی (عربی, پاکستان)"
pa_Arab,"پنجابی (عربی)"
pa_Guru_IN,"پنجابی (گرمکھی, بھارت)"
pa_Guru,"پنجابی (گرمکھی)"
pl,پولش
pl_PL,"پولش (پولینڈ)"
bo,تبتی
bo_IN,"تبتی (بھارت)"
bo_CN,"تبتی (چین)"
tr,ترکی
tr_TR,"ترکی (ترکی)"
tr_CY,"ترکی (قبرص)"
ta,تمل
ta_IN,"تمل (بھارت)"
ta_LK,"تمل (سری لنکا)"
ta_SG,"تمل (سنگاپور)"
ta_MY,"تمل (ملائشیا)"
te,تیلگو
te_IN,"تیلگو (بھارت)"
th,تھائی
th_TH,"تھائی (تھائی لینڈ)"
ti,ٹگرینیا
ti_ER,"ٹگرینیا (اریٹیریا)"
ti_ET,"ٹگرینیا (ایتھوپیا)"
to,ٹونگن
to_TO,"ٹونگن (ٹونگا)"
tl,"ٹیگا لوگ"
tl_PH,"ٹیگا لوگ (فلپائن)"
ja,جاپانی
ja_JP,"جاپانی (جاپان)"
ka,جارجی
ka_GE,"جارجی (جارجیا)"
de,جرمن
de_IT,"جرمن (اٹلی)"
de_AT,"جرمن (آسٹریا)"
de_BE,"جرمن (بیلجیم)"
de_DE,"جرمن (جرمنی)"
de_CH,"جرمن (سوئٹزر لینڈ)"
de_LU,"جرمن (لکسمبرگ)"
de_LI,"جرمن (لیشٹنسٹائن)"
ce,چیچن
ce_RU,"چیچن (روس)"
cs,چیک
cs_CZ,"چیک (زکھیا)"
zh,چینی
zh_Hans_CN,"چینی (آسان, چین)"
zh_Hans_SG,"چینی (آسان, سنگاپور)"
zh_Hans_MO,"چینی (آسان, مکاؤ SAR چین)"
zh_Hans_HK,"چینی (آسان, ہانگ کانگ SAR چین)"
zh_Hans,"چینی (آسان)"
zh_TW,"چینی (تائیوان)"
zh_CN,"چینی (چین)"
zh_Hant_TW,"چینی (روایتی, تائیوان)"
zh_Hant_MO,"چینی (روایتی, مکاؤ SAR چین)"
zh_Hant_HK,"چینی (روایتی, ہانگ کانگ SAR چین)"
zh_Hant,"چینی (روایتی)"
zh_SG,"چینی (سنگاپور)"
zh_MO,"چینی (مکاؤ SAR چین)"
zh_HK,"چینی (ہانگ کانگ SAR چین)"
km,خمیر
km_KH,"خمیر (کمبوڈیا)"
nl,ڈچ
nl_AW,"ڈچ (اروبا)"
nl_BE,"ڈچ (بیلجیم)"
nl_SX,"ڈچ (سنٹ مارٹن)"
nl_SR,"ڈچ (سورینام)"
nl_BQ,"ڈچ (کریبیائی نیدرلینڈز)"
nl_CW,"ڈچ (کیوراکاؤ)"
nl_NL,"ڈچ (نیدر لینڈز)"
da,ڈینش
da_DK,"ڈینش (ڈنمارک)"
da_GL,"ڈینش (گرین لینڈ)"
ru,روسی
ru_BY,"روسی (بیلاروس)"
ru_RU,"روسی (روس)"
ru_KZ,"روسی (قازقستان)"
ru_KG,"روسی (کرغزستان)"
ru_MD,"روسی (مالدووا)"
ru_UA,"روسی (یوکرین)"
rm,رومانش
rm_CH,"رومانش (سوئٹزر لینڈ)"
ro,رومینین
ro_RO,"رومینین (رومانیہ)"
ro_MD,"رومینین (مالدووا)"
rn,رونڈی
rn_BI,"رونڈی (برونڈی)"
zu,زولو
zu_ZA,"زولو (جنوبی افریقہ)"
dz,ژونگکھا
dz_BT,"ژونگکھا (بھوٹان)"
sg,ساںغو
sg_CF,"ساںغو (وسط افریقی جمہوریہ)"
ii,"سچوان ای"
ii_CN,"سچوان ای (چین)"
sh,سربو-کروئیشین
sh_BA,"سربو-کروئیشین (بوسنیا اور ہرزیگووینا)"
sr,سربین
sr_BA,"سربین (بوسنیا اور ہرزیگووینا)"
sr_RS,"سربین (سربیا)"
sr_Cyrl_BA,"سربین (سیریلک, بوسنیا اور ہرزیگووینا)"
sr_Cyrl_RS,"سربین (سیریلک, سربیا)"
sr_Cyrl_XK,"سربین (سیریلک, کوسووو)"
sr_Cyrl_ME,"سربین (سیریلک, مونٹے نیگرو)"
sr_Cyrl,"سربین (سیریلک)"
sr_XK,"سربین (کوسووو)"
sr_Latn_BA,"سربین (لاطینی, بوسنیا اور ہرزیگووینا)"
sr_Latn_RS,"سربین (لاطینی, سربیا)"
sr_Latn_XK,"سربین (لاطینی, کوسووو)"
sr_Latn_ME,"سربین (لاطینی, مونٹے نیگرو)"
sr_Latn,"سربین (لاطینی)"
sr_ME,"سربین (مونٹے نیگرو)"
gd,"سکاٹ گیلِک"
gd_GB,"سکاٹ گیلِک (سلطنت متحدہ)"
sk,سلوواک
sk_SK,"سلوواک (سلوواکیہ)"
sl,سلووینیائی
sl_SI,"سلووینیائی (سلووینیا)"
si,سنہالا
si_LK,"سنہالا (سری لنکا)"
sw,سواحلی
sw_TZ,"سواحلی (تنزانیہ)"
sw_CD,"سواحلی (کانگو - کنشاسا)"
sw_KE,"سواحلی (کینیا)"
