id,value
no,Norwegian
no_NO,"Norwegian (Norway)"
os,osetin
os_GE,"osetin (Грузия)"
os_RU,"osetin (Россия)"
sh,Serbo-Croatian
sh_BA,"Serbo-Croatian (Bosnia & Herzegovina)"
ii,sichuan
ii_CN,"sichuan (Хитой)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
ak,аканча
ak_GH,"аканча (Гана)"
sq,албанча
sq_AL,"албанча (Албания)"
sq_XK,"албанча (Косово)"
sq_MK,"албанча (Македония)"
am,амхарча
am_ET,"амхарча (Эфиопия)"
ar,арабча
ar_BH,"арабча (Баҳрайн)"
ar_AE,"арабча (Бирлашган Араб Амирликлари)"
ar_EH,"арабча (Ғарбий Саҳрои Кабир)"
ar_DZ,"арабча (Жазоир)"
ar_SS,"арабча (Жанубий Судан)"
ar_DJ,"арабча (Жибути)"
ar_JO,"арабча (Иордания)"
ar_IQ,"арабча (Ироқ)"
ar_IL,"арабча (Исроил)"
ar_KM,"арабча (Комор ороллари)"
ar_QA,"арабча (Қатар)"
ar_KW,"арабча (Қувайт)"
ar_LB,"арабча (Ливан)"
ar_LY,"арабча (Ливия)"
ar_MR,"арабча (Мавритания)"
ar_MA,"арабча (Марокаш)"
ar_EG,"арабча (Миср)"
ar_SA,"арабча (Саудия Арабистони)"
ar_SO,"арабча (Сомали)"
ar_SD,"арабча (Судан)"
ar_SY,"арабча (Сурия)"
ar_TN,"арабча (Тунис)"
ar_OM,"арабча (Уммон)"
ar_PS,"арабча (Фаластин ҳудуди)"
ar_TD,"арабча (Чад)"
ar_ER,"арабча (Эритрея)"
ar_YE,"арабча (Яман)"
hy,арманча
hy_AM,"арманча (Арманистон)"
as,ассомча
as_IN,"ассомча (Ҳиндистон)"
af,африкаанс
af_ZA,"африкаанс (Жанубий Африка Республикаси)"
af_NA,"африкаанс (Намибия)"
bm,бамбарча
bm_ML,"бамбарча (Мали)"
eu,баскча
eu_ES,"баскча (Испания)"
be,беларусча
be_BY,"беларусча (Белорусия)"
bn,бенгалча
bn_BD,"бенгалча (Бангладеш)"
bn_IN,"бенгалча (Ҳиндистон)"
my,бирманча
my_MM,"бирманча (Мьянма (Бирма))"
bg,болгарча
bg_BG,"болгарча (Болгария)"
bs,боснийча
bs_BA,"боснийча (Босния ва Герцеговина)"
bs_Cyrl_BA,"боснийча (Кирил, Босния ва Герцеговина)"
bs_Cyrl,"боснийча (Кирил)"
bs_Latn_BA,"боснийча (Лотин, Босния ва Герцеговина)"
bs_Latn,"боснийча (Лотин)"
br,бретонча
br_FR,"бретонча (Франция)"
hu,венгерча
hu_HU,"венгерча (Венгрия)"
vi,ветнамча
vi_VN,"ветнамча (Вьетнам)"
gl,галицийча
gl_ES,"галицийча (Испания)"
lg,гандача
lg_UG,"гандача (Уганда)"
nl,голландча
nl_AW,"голландча (Аруба)"
nl_BE,"голландча (Бельгия)"
nl_BQ,"голландча (Бонейр, Синт-Эстатиус ва Саба)"
nl_CW,"голландча (Кюрасао)"
nl_NL,"голландча (Нидерландия)"
nl_SX,"голландча (Синт-Мартен)"
nl_SR,"голландча (Суринам)"
el,грекча
el_GR,"грекча (Греция)"
el_CY,"грекча (Кипр)"
kl,гренландча
kl_GL,"гренландча (Гренландия)"
ka,грузинча
ka_GE,"грузинча (Грузия)"
gu,гужаротча
gu_IN,"гужаротча (Ҳиндистон)"
fy,"ғарбий фризча"
fy_NL,"ғарбий фризча (Нидерландия)"
da,датча
da_GL,"датча (Гренландия)"
da_DK,"датча (Дания)"
dz,дзонгка
dz_BT,"дзонгка (Бутан)"
zu,зулу
zu_ZA,"зулу (Жанубий Африка Республикаси)"
he,иброний
he_IL,"иброний (Исроил)"
ig,игбо
ig_NG,"игбо (Нигерия)"
yi,иддиш
en,инглизча
en_AU,"инглизча (Австралия)"
en_AT,"инглизча (Австрия)"
en_VI,"инглизча (АҚШ Виргин ороллари)"
en_UM,"инглизча (АҚШ ёндош ороллари)"
en_US,"инглизча (Америка Қўшма Штатлари)"
en_AS,"инглизча (Америка Самоаси)"
en_AI,"инглизча (Ангиля)"
en_AG,"инглизча (Антигуа ва Барбуда)"
en_BS,"инглизча (Багама ороллари)"
en_BB,"инглизча (Барбадос)"
en_BZ,"инглизча (Белиз)"
en_BE,"инглизча (Бельгия)"
en_BM,"инглизча (Бермуда)"
en_BW,"инглизча (Ботсванна)"
en_IO,"инглизча (Британиянинг Ҳинд океанидаги ҳудуди)"
en_VG,"инглизча (Бртания Виргин ороллари)"
en_BI,"инглизча (Бурунди)"
en_GB,"инглизча (Буюк Британия)"
en_VU,"инглизча (Вануату)"
en_GM,"инглизча (Гамбия)"
en_GH,"инглизча (Гана)"
en_GY,"инглизча (Гаяна)"
en_DE,"инглизча (Германия)"
en_GG,"инглизча (Гернси)"
en_GI,"инглизча (Гибралтар)"
en_HK,"инглизча (Гонконг (Хитой ММҲ))"
en_GD,"инглизча (Гренада)"
en_GU,"инглизча (Гуам)"
en_DK,"инглизча (Дания)"
en_DG,"инглизча (Диего-Гарсия)"
en_DM,"инглизча (Доминика)"
en_ZA,"инглизча (Жанубий Африка Республикаси)"
en_SS,"инглизча (Жанубий Судан)"
en_JE,"инглизча (Жерси)"
en_ZM,"инглизча (Замбия)"
en_ZW,"инглизча (Зимбабве)"
en_IE,"инглизча (Ирландия)"
en_IL,"инглизча (Исроил)"
en_KY,"инглизча (Кайман ороллари)"
en_CM,"инглизча (Камерун)"
en_CA,"инглизча (Канада)"
en_KE,"инглизча (Кения)"
en_CY,"инглизча (Кипр)"
en_KI,"инглизча (Кирибати)"
en_CC,"инглизча (Кокос (Килинг) ороллари)"
en_CK,"инглизча (Кук ороллари)"
en_LS,"инглизча (Лесото)"
en_LR,"инглизча (Либерия)"
en_MU,"инглизча (Маврикий)"
en_MG,"инглизча (Мадагаскар)"
en_MO,"инглизча (Макао (Хитой ММҲ))"
en_MW,"инглизча (Малави)"
en_MY,"инглизча (Малайзия)"
en_MT,"инглизча (Мальта)"
en_MH,"инглизча (Маршал ороллари)"
en_FM,"инглизча (Микронезия)"
en_MS,"инглизча (Монтсеррат)"
en_SH,"инглизча (Муқаддас Елена ороли)"
en_IM,"инглизча (Мэн ороли)"
en_NA,"инглизча (Намибия)"
en_NR,"инглизча (Науру)"
en_NG,"инглизча (Нигерия)"
en_NL,"инглизча (Нидерландия)"
en_NU,"инглизча (Ниуэ)"
en_NF,"инглизча (Норфолк ороллари)"
en_PW,"инглизча (Палау)"
en_PG,"инглизча (Папуа - Янги Гвинея)"
en_PN,"инглизча (Питкэрн ороллари)"
en_PK,"инглизча (Покистон)"
en_PR,"инглизча (Пуэрто-Рико)"
en_CX,"инглизча (Рождество ороли)"
en_RW,"инглизча (Руанда)"
en_WS,"инглизча (Самоа)"
en_SZ,"инглизча (Свазиленд)"
en_SC,"инглизча (Сейшел ороллари)"
en_VC,"инглизча (Сент-Винсент ва Гренадин)"
en_KN,"инглизча (Сент-Китс ва Невис)"
en_LC,"инглизча (Сент-Люсия)"
en_SG,"инглизча (Сингапур)"
en_SX,"инглизча (Синт-Мартен)"
en_SI,"инглизча (Словения)"
en_SB,"инглизча (Соломон ороллари)"
